ProductID;L=3;V_3;E_3;L=4;V_4;E_4;
1735;L=3;29;45;L=4;45;71;
1736;L=3;33;50;L=4;50;77;
1737;L=3;38;66;L=4;66;116;
1738;L=3;42;71;L=4;71;122;
1739;L=3;51;92;L=4;92;167;
1740;L=3;54;98;L=4;98;176;
1741;L=3;36;56;L=4;56;86;
1742;L=3;40;61;L=4;61;92;
1743;L=3;45;77;L=4;77;131;
1744;L=3;49;82;L=4;82;137;
1745;L=3;58;103;L=4;103;182;
1746;L=3;62;111;L=4;111;199;
1747;L=3;27;30;L=4;30;30;
1748;L=3;32;46;L=4;46;69;
1749;L=3;36;51;L=4;51;75;
1750;L=3;41;67;L=4;67;114;
1751;L=3;45;72;L=4;72;120;
1752;L=3;50;88;L=4;88;159;
1753;L=3;36;51;L=4;51;75;
1754;L=3;41;67;L=4;67;114;
1755;L=3;45;72;L=4;72;120;
1756;L=3;54;93;L=4;93;165;
1757;L=3;57;99;L=4;99;174;
1758;L=3;43;62;L=4;62;90;
1759;L=3;48;78;L=4;78;129;
1760;L=3;52;83;L=4;83;135;
1761;L=3;61;104;L=4;104;180;
1762;L=3;60;106;L=4;106;191;
1763;L=3;64;111;L=4;111;197;
1764;L=3;66;116;L=4;116;205;
1765;L=3;32;46;L=4;46;69;
1766;L=3;36;51;L=4;51;75;
